time,open,high,low,close,volume,ticker,%_change,change,latest_change
2022-01-05,35600,37200,35000,35600,15855000,DXG,1.14,400.0,400.0 (1.14%)
2022-01-06,36150,38050,35600,38050,14184100,DXG,6.88,2450.0,2450.0 (6.88%)
2022-01-07,38200,40000,37900,39200,10015600,DXG,3.02,1150.0,1150.0 (3.02%)
2022-01-10,38900,41000,38500,38800,11063600,DXG,-1.02,-400.0,-400.0 (-1.02%)
2022-01-11,37000,38800,36800,37900,16059300,DXG,-2.32,-900.0,-900.0 (-2.32%)
2022-01-12,36400,37600,35250,37200,21541100,DXG,-1.85,-700.0,-700.0 (-1.85%)
2022-01-13,37300,37700,34600,34600,14528100,DXG,-6.99,-2600.0,-2600.0 (-6.99%)
2022-01-14,33000,35650,32600,34600,7100600,DXG,0.0,0.0,0.0 (0.0%)
2022-01-17,35100,35150,32200,32200,9149700,DXG,-6.94,-2400.0,-2400.0 (-6.94%)
2022-01-18,30300,31850,29950,29950,8869400,DXG,-6.99,-2250.0,-2250.0 (-6.99%)
2022-01-19,29600,31950,28500,31700,11133900,DXG,5.84,1750.0,1750.0 (5.84%)
2022-01-20,31850,33900,31600,33900,8674600,DXG,6.94,2200.0,2200.0 (6.94%)
2022-01-21,34000,34400,32700,33800,8224100,DXG,-0.29,-100.0,-100.0 (-0.29%)
2022-01-24,33300,33400,31450,31450,8344600,DXG,-6.95,-2350.0,-2350.0 (-6.95%)
2022-01-25,30100,32900,30100,32299,7312600,DXG,2.7,849.0,849.0 (2.7%)
2022-01-26,32800,34200,31550,34150,8947000,DXG,5.73,1851.0,1851.0 (5.73%)
2022-01-27,34000,35300,33550,34700,10157300,DXG,1.61,550.0,550.0 (1.61%)
2022-01-28,34250,35100,33650,33850,6962700,DXG,-2.45,-850.0,-850.0 (-2.45%)
2022-02-07,34300,35650,34100,34600,5534700,DXG,2.22,750.0,750.0 (2.22%)
2022-02-08,34600,35750,34500,35300,6349800,DXG,2.02,700.0,700.0 (2.02%)
2022-02-09,35400,36200,35050,35600,7879000,DXG,0.85,300.0,300.0 (0.85%)
2022-02-10,35750,35800,34600,35100,8037000,DXG,-1.4,-500.0,-500.0 (-1.4%)
2022-02-11,35000,35350,34750,35100,4974100,DXG,0.0,0.0,0.0 (0.0%)
2022-02-14,34350,35950,34300,35000,6524900,DXG,-0.28,-100.0,-100.0 (-0.28%)
2022-02-15,35100,37300,34950,37300,12200300,DXG,6.57,2300.0,2300.0 (6.57%)
2022-02-16,37700,38200,37150,37450,6639800,DXG,0.4,150.0,150.0 (0.4%)
2022-02-17,37300,38400,37000,38100,8441900,DXG,1.74,650.0,650.0 (1.74%)
2022-02-18,37800,39450,37500,38900,11529700,DXG,2.1,800.0,800.0 (2.1%)
2022-02-21,39300,40100,38850,39500,9663300,DXG,1.54,600.0,600.0 (1.54%)
2022-02-22,38500,39200,37550,38800,14392000,DXG,-1.77,-700.0,-700.0 (-1.77%)
2022-02-23,38800,40900,38700,40400,13470700,DXG,4.12,1600.0,1600.0 (4.12%)
