time,open,high,low,close,volume,ticker,%_change,change,latest_change
2022-01-05,30460,30830,29890,29930,5907300,HSG,-1.35,-410.0,-410.0 (-1.35%)
2022-01-06,29780,29780,28810,28960,9557200,HSG,-3.24,-970.0,-970.0 (-3.24%)
2022-01-07,28810,29330,28480,28600,8428400,HSG,-1.24,-360.0,-360.0 (-1.24%)
2022-01-10,28880,29450,28560,28810,4463000,HSG,0.73,210.0,210.0 (0.73%)
2022-01-11,28810,29090,27990,27990,4851900,HSG,-2.85,-820.0,-820.0 (-2.85%)
2022-01-12,27990,28720,27750,28480,6488500,HSG,1.75,490.0,490.0 (1.75%)
2022-01-13,28760,29780,28480,29200,6755100,HSG,2.53,720.0,720.0 (2.53%)
2022-01-14,28720,29530,28560,28680,2731800,HSG,-1.78,-520.0,-520.0 (-1.78%)
2022-01-17,28600,28760,26700,26700,8298500,HSG,-6.9,-1980.0,-1980.0 (-6.9%)
2022-01-18,26940,27500,25240,26820,7603400,HSG,0.45,120.0,120.0 (0.45%)
2022-01-19,27110,27180,26500,26700,3081300,HSG,-0.45,-120.0,-120.0 (-0.45%)
2022-01-20,26530,27180,25810,27020,4376800,HSG,1.2,320.0,320.0 (1.2%)
2022-01-21,26980,26980,26140,26140,5113000,HSG,-3.26,-880.0,-880.0 (-3.26%)
2022-01-24,26090,26090,24310,24310,7702700,HSG,-7.0,-1830.0,-1830.0 (-7.0%)
2022-01-25,24270,25000,23860,24920,4617400,HSG,2.51,610.0,610.0 (2.51%)
2022-01-26,25320,25650,25000,25000,3038600,HSG,0.32,80.0,80.0 (0.32%)
2022-01-27,25240,25490,24270,24510,4399000,HSG,-1.96,-490.0,-490.0 (-1.96%)
2022-01-28,24760,25040,24510,24550,2918600,HSG,0.16,40.0,40.0 (0.16%)
2022-02-07,25080,25970,24590,25810,3714600,HSG,5.13,1260.0,1260.0 (5.13%)
2022-02-08,25560,27590,25520,27590,6904900,HSG,6.9,1780.0,1780.0 (6.9%)
2022-02-09,28120,29490,27910,29490,8543900,HSG,6.89,1900.0,1900.0 (6.89%)
2022-02-10,29890,30420,29240,29450,11705400,HSG,-0.14,-40.0,-40.0 (-0.14%)
2022-02-11,29170,30340,28880,30020,9619600,HSG,1.94,570.0,570.0 (1.94%)
2022-02-14,29570,30750,29370,29370,9749500,HSG,-2.17,-650.0,-650.0 (-2.17%)
2022-02-15,29410,29780,28230,29090,9568800,HSG,-0.95,-280.0,-280.0 (-0.95%)
2022-02-16,29130,29490,28760,29490,5806700,HSG,1.38,400.0,400.0 (1.38%)
2022-02-17,29530,30100,29290,29610,4921000,HSG,0.41,120.0,120.0 (0.41%)
2022-02-18,29290,30500,29200,30140,9813800,HSG,1.79,530.0,530.0 (1.79%)
2022-02-21,30300,30500,29650,29730,7320200,HSG,-1.36,-410.0,-410.0 (-1.36%)
2022-02-22,29130,29490,28360,28960,9057900,HSG,-2.59,-770.0,-770.0 (-2.59%)
2022-02-23,28960,29850,28920,29570,5503800,HSG,2.11,610.0,610.0 (2.11%)
2022-02-24,29570,30020,28160,28760,8867600,HSG,-2.74,-810.0,-810.0 (-2.74%)
2022-02-25,29370,29370,28720,29000,5225400,HSG,0.83,240.0,240.0 (0.83%)
2022-02-28,29290,31030,29130,31030,21865900,HSG,7.0,2030.0,2030.0 (7.0%)
2022-03-01,32040,33010,31390,31550,22377800,HSG,1.68,520.0,520.0 (1.68%)
2022-03-02,31480,32280,31480,32080,12207900,HSG,1.68,530.0,530.0 (1.68%)
2022-03-03,32520,34180,32360,34060,21225000,HSG,6.17,1980.0,1980.0 (6.17%)
2022-03-04,34300,34300,32930,33010,15769900,HSG,-3.08,-1050.0,-1050.0 (-3.08%)
2022-03-07,33570,35190,33420,34340,15436500,HSG,4.03,1330.0,1330.0 (4.03%)
2022-03-08,33740,34300,32490,32689,14895400,HSG,-4.81,-1651.0,-1651.0 (-4.81%)
2022-03-09,33250,33940,32159,33530,15209600,HSG,2.57,841.0,841.0 (2.57%)
2022-03-10,33330,34060,32880,33130,11124600,HSG,-1.19,-400.0,-400.0 (-1.19%)
2022-03-11,33170,33660,31720,32080,13916600,HSG,-3.17,-1050.0,-1050.0 (-3.17%)
2022-03-14,32770,33010,30750,30750,13194500,HSG,-4.15,-1330.0,-1330.0 (-4.15%)
2022-03-15,30750,31310,29690,30100,12933900,HSG,-2.11,-650.0,-650.0 (-2.11%)
2022-03-16,30420,30790,30060,30210,6862000,HSG,0.37,110.0,110.0 (0.37%)
2022-03-17,30500,30660,29570,29650,10006100,HSG,-1.85,-560.0,-560.0 (-1.85%)
2022-03-18,30020,30830,29650,30620,13268600,HSG,3.27,970.0,970.0 (3.27%)
2022-03-21,31180,31720,30830,30900,9784800,HSG,0.91,280.0,280.0 (0.91%)
2022-03-22,30900,31430,30020,31390,16585700,HSG,1.59,490.0,490.0 (1.59%)
2022-03-23,31550,31800,30700,30700,13421900,HSG,-2.2,-690.0,-690.0 (-2.2%)
2022-03-24,30860,30940,30340,30380,8360600,HSG,-1.04,-320.0,-320.0 (-1.04%)
2022-03-25,30420,31150,30020,30620,10576700,HSG,0.79,240.0,240.0 (0.79%)
2022-03-28,30500,31150,30170,30580,9292200,HSG,-0.13,-40.0,-40.0 (-0.13%)
2022-03-29,30860,30860,30300,30380,6520700,HSG,-0.65,-200.0,-200.0 (-0.65%)
2022-03-30,30020,30540,29330,29370,11040000,HSG,-3.32,-1010.0,-1010.0 (-3.32%)
2022-03-31,29610,29930,27990,28320,13015900,HSG,-3.58,-1050.0,-1050.0 (-3.58%)
2022-04-01,28160,29050,28160,28920,6123100,HSG,2.12,600.0,600.0 (2.12%)
2022-04-04,29200,29240,28810,28840,4487300,HSG,-0.28,-80.0,-80.0 (-0.28%)
2022-04-05,28920,29240,28810,28840,4276000,HSG,0.0,0.0,0.0 (0.0%)
2022-04-06,28640,29690,28640,29090,6832200,HSG,0.87,250.0,250.0 (0.87%)
2022-04-07,29130,29370,28480,28560,4956300,HSG,-1.82,-530.0,-530.0 (-1.82%)
2022-04-08,28840,28840,26570,26570,13116800,HSG,-6.97,-1990.0,-1990.0 (-6.97%)
2022-04-12,27430,27750,26530,26530,7020900,HSG,-0.15,-40.0,-40.0 (-0.15%)
2022-04-13,26740,27110,26050,26780,4337800,HSG,0.94,250.0,250.0 (0.94%)
2022-04-14,26980,27590,26740,26860,3997500,HSG,0.3,80.0,80.0 (0.3%)
2022-04-15,26940,27870,26860,26860,5824600,HSG,0.0,0.0,0.0 (0.0%)
2022-04-18,26700,26860,25170,25170,7561100,HSG,-6.29,-1690.0,-1690.0 (-6.29%)
2022-04-19,25730,25810,24310,24510,4864100,HSG,-2.62,-660.0,-660.0 (-2.62%)
2022-04-20,24350,25080,24270,24350,6487700,HSG,-0.65,-160.0,-160.0 (-0.65%)
2022-04-21,23620,24760,23140,24350,8558200,HSG,0.0,0.0,0.0 (0.0%)
2022-04-22,24510,24920,23470,24440,5720400,HSG,0.37,90.0,90.0 (0.37%)
2022-04-25,24270,24680,22740,22740,7647300,HSG,-6.96,-1700.0,-1700.0 (-6.96%)
2022-04-26,21840,22980,21400,22980,7347800,HSG,1.06,240.0,240.0 (1.06%)
2022-04-27,22890,23470,22410,23380,4430200,HSG,1.74,400.0,400.0 (1.74%)
2022-04-28,23140,23750,22930,22930,3259200,HSG,-1.92,-450.0,-450.0 (-1.92%)
2022-04-29,22890,23340,22850,22890,5159400,HSG,-0.17,-40.0,-40.0 (-0.17%)
2022-05-04,21600,22130,21320,21320,16118100,HSG,-6.86,-1570.0,-1570.0 (-6.86%)
2022-05-05,21320,21720,19860,19940,17578800,HSG,-6.47,-1380.0,-1380.0 (-6.47%)
2022-05-06,18770,21320,18770,21040,18705300,HSG,5.52,1100.0,1100.0 (5.52%)
2022-05-09,20310,20950,19580,19580,6971200,HSG,-6.94,-1460.0,-1460.0 (-6.94%)
2022-05-10,18610,20110,18410,19900,6064900,HSG,1.63,320.0,320.0 (1.63%)
2022-05-11,19900,20430,19380,19830,5940800,HSG,-0.35,-70.0,-70.0 (-0.35%)
2022-05-12,19500,19740,18450,18450,7363100,HSG,-6.96,-1380.0,-1380.0 (-6.96%)
2022-05-13,18200,18770,17190,17190,9700800,HSG,-6.83,-1260.0,-1260.0 (-6.83%)
2022-05-16,16990,17920,16020,16020,10660500,HSG,-6.81,-1170.0,-1170.0 (-6.81%)
2022-05-17,15370,17110,15090,17110,12531100,HSG,6.8,1090.0,1090.0 (6.8%)
2022-05-18,17400,17880,17270,17310,4906400,HSG,1.17,200.0,200.0 (1.17%)
2022-05-19,16910,17350,16710,16950,3940400,HSG,-2.08,-360.0,-360.0 (-2.08%)
2022-05-20,16950,17590,16580,17400,6575600,HSG,2.65,450.0,450.0 (2.65%)
2022-05-23,17590,17960,16830,17110,7615600,HSG,-1.67,-290.0,-290.0 (-1.67%)
2022-05-24,17160,17190,15940,16340,11594500,HSG,-4.5,-770.0,-770.0 (-4.5%)
2022-05-25,16379,17270,15980,17160,9947400,HSG,5.02,820.0,820.0 (5.02%)
2022-05-26,17400,17800,17230,17550,7229500,HSG,2.27,390.0,390.0 (2.27%)
2022-05-27,17720,18770,17550,18770,16149200,HSG,6.95,1220.0,1220.0 (6.95%)
2022-05-30,19010,19100,18490,18650,8223000,HSG,-0.64,-120.0,-120.0 (-0.64%)
2022-05-31,18610,18650,18280,18450,6000100,HSG,-1.07,-200.0,-200.0 (-1.07%)
2022-06-01,18370,18690,17960,18280,8975500,HSG,-0.92,-170.0,-170.0 (-0.92%)
2022-06-02,18200,18450,17310,17510,11788700,HSG,-4.21,-770.0,-770.0 (-4.21%)
2022-06-03,17590,18200,17400,17880,7272200,HSG,2.11,370.0,370.0 (2.11%)
2022-06-06,17830,18130,17190,17400,4619600,HSG,-2.68,-480.0,-480.0 (-2.68%)
2022-06-07,17230,17310,16180,16540,8038800,HSG,-4.94,-860.0,-860.0 (-4.94%)
2022-06-08,16580,17270,16470,16990,6758300,HSG,2.72,450.0,450.0 (2.72%)
2022-06-09,17190,18170,16950,18040,8953800,HSG,6.18,1050.0,1050.0 (6.18%)
2022-06-10,17720,18450,17510,17510,8068500,HSG,-2.94,-530.0,-530.0 (-2.94%)
2022-06-13,16710,16990,16300,16300,7699000,HSG,-6.91,-1210.0,-1210.0 (-6.91%)
2022-06-14,15570,15980,15170,15170,12387000,HSG,-6.93,-1130.0,-1130.0 (-6.93%)
2022-06-15,14970,15330,14120,14120,11614300,HSG,-6.92,-1050.0,-1050.0 (-6.92%)
