time,open,high,low,close,volume,ticker,%_change,change,latest_change
2022-01-05,67810,68540,67460,67460,1178700,MWG,-0.52,-350.0,-350.0 (-0.52%)
2022-01-06,67460,68290,67170,67660,770900,MWG,0.3,200.0,200.0 (0.3%)
2022-01-07,67660,67660,66670,66670,921200,MWG,-1.46,-990.0,-990.0 (-1.46%)
2022-01-10,66670,66670,65440,65640,772200,MWG,-1.54,-1030.0,-1030.0 (-1.54%)
2022-01-11,65440,66180,64810,64860,773400,MWG,-1.19,-780.0,-780.0 (-1.19%)
2022-01-12,64860,66920,63970,66920,928600,MWG,3.18,2060.0,2060.0 (3.18%)
2022-01-13,67170,67170,64959,66670,925000,MWG,-0.37,-250.0,-250.0 (-0.37%)
2022-01-14,66430,66430,65540,65940,468400,MWG,-1.09,-730.0,-730.0 (-1.09%)
2022-01-17,65440,65890,63970,63970,817400,MWG,-2.99,-1970.0,-1970.0 (-2.99%)
2022-01-18,63480,64959,63280,64019,816200,MWG,0.08,49.0,49.0 (0.08%)
2022-01-19,64069,65940,63970,65690,954800,MWG,2.61,1671.0,1671.0 (2.61%)
2022-01-20,65440,65940,65010,65940,896900,MWG,0.38,250.0,250.0 (0.38%)
2022-01-21,65940,65940,64610,65540,655100,MWG,-0.61,-400.0,-400.0 (-0.61%)
2022-01-24,65060,65540,63920,63920,867600,MWG,-2.47,-1620.0,-1620.0 (-2.47%)
2022-01-25,63870,64459,62790,64459,802500,MWG,0.84,539.0,539.0 (0.84%)
2022-01-26,64459,64910,63480,64910,954300,MWG,0.7,451.0,451.0 (0.7%)
2022-01-27,64410,65099,63570,64709,530600,MWG,-0.31,-201.0,-201.0 (-0.31%)
2022-01-28,64610,65190,63820,65190,716300,MWG,0.74,481.0,481.0 (0.74%)
2022-02-07,65440,66770,65440,65890,932400,MWG,1.07,700.0,700.0 (1.07%)
2022-02-08,65890,67310,65890,67070,1450000,MWG,1.79,1180.0,1180.0 (1.79%)
2022-02-09,67070,67660,66920,67410,1207000,MWG,0.51,340.0,340.0 (0.51%)
2022-02-10,67410,67510,66180,67070,902700,MWG,-0.5,-340.0,-340.0 (-0.5%)
2022-02-11,66430,66920,66430,66580,541500,MWG,-0.73,-490.0,-490.0 (-0.73%)
2022-02-14,65890,66430,64959,64959,957300,MWG,-2.43,-1621.0,-1621.0 (-2.43%)
2022-02-15,65290,65890,64709,65590,572400,MWG,0.97,631.0,631.0 (0.97%)
2022-02-16,66040,66040,64760,65390,562000,MWG,-0.3,-200.0,-200.0 (-0.3%)
2022-02-17,64959,66180,64910,66180,1031400,MWG,1.21,790.0,790.0 (1.21%)
2022-02-18,65010,65940,65010,65940,467800,MWG,-0.36,-240.0,-240.0 (-0.36%)
2022-02-21,65190,66380,65190,65890,612100,MWG,-0.08,-50.0,-50.0 (-0.08%)
2022-02-22,65440,68490,65140,67760,3272600,MWG,2.84,1870.0,1870.0 (2.84%)
2022-02-23,67760,69190,67360,67810,1609600,MWG,0.07,50.0,50.0 (0.07%)
2022-02-24,67410,67760,66670,67310,1174200,MWG,-0.74,-500.0,-500.0 (-0.74%)
2022-02-25,67360,68790,66920,67710,2690300,MWG,0.59,400.0,400.0 (0.59%)
2022-02-28,67170,67910,66670,66920,1802000,MWG,-1.17,-790.0,-790.0 (-1.17%)
2022-03-01,67360,67410,66480,66920,1210200,MWG,0.0,0.0,0.0 (0.0%)
2022-03-02,66820,66820,65940,66180,1670200,MWG,-1.11,-740.0,-740.0 (-1.11%)
2022-03-03,66430,67170,65740,67170,1057800,MWG,1.5,990.0,990.0 (1.5%)
2022-03-04,67170,67210,66230,66820,1073200,MWG,-0.52,-350.0,-350.0 (-0.52%)
2022-03-07,66180,66430,65940,66040,1139800,MWG,-1.17,-780.0,-780.0 (-1.17%)
2022-03-08,65940,66180,65140,66040,1996900,MWG,0.0,0.0,0.0 (0.0%)
2022-03-09,65990,65990,65190,65840,1148900,MWG,-0.3,-200.0,-200.0 (-0.3%)
2022-03-10,65940,65940,65239,65690,883000,MWG,-0.23,-150.0,-150.0 (-0.23%)
2022-03-11,65640,65640,64959,65440,653000,MWG,-0.38,-250.0,-250.0 (-0.38%)
2022-03-14,65010,65340,63720,64810,1226700,MWG,-0.96,-630.0,-630.0 (-0.96%)
2022-03-15,64310,64660,63480,64660,1005300,MWG,-0.23,-150.0,-150.0 (-0.23%)
2022-03-16,64560,64959,63970,64660,1054600,MWG,0.0,0.0,0.0 (0.0%)
2022-03-17,64860,64959,64360,64360,691400,MWG,-0.46,-300.0,-300.0 (-0.46%)
2022-03-18,64360,64860,64360,64760,791100,MWG,0.62,400.0,400.0 (0.62%)
2022-03-21,64959,66380,64709,66380,921700,MWG,2.5,1620.0,1620.0 (2.5%)
2022-03-22,66430,66920,65740,66530,1046000,MWG,0.23,150.0,150.0 (0.23%)
2022-03-23,66280,67120,66230,66430,794300,MWG,-0.15,-100.0,-100.0 (-0.15%)
2022-03-24,66430,66430,65440,65940,913200,MWG,-0.74,-490.0,-490.0 (-0.74%)
2022-03-25,66280,69090,65790,68340,3782700,MWG,3.64,2400.0,2400.0 (3.64%)
2022-03-28,68490,70910,68340,70860,3833100,MWG,3.69,2520.0,2520.0 (3.69%)
2022-03-29,71590,73460,70860,72090,2287900,MWG,1.74,1230.0,1230.0 (1.74%)
