time,open,high,low,close,volume,ticker,%_change,change,latest_change
2022-01-05,46070,46860,45630,45890,15701400,SSI,-0.39,-180.0,-180.0 (-0.39%)
2022-01-06,45550,46070,45110,45110,13247500,SSI,-1.7,-780.0,-780.0 (-1.7%)
2022-01-07,44940,45630,44510,44850,13974400,SSI,-0.58,-260.0,-260.0 (-0.58%)
2022-01-10,44850,45200,43460,43460,14840200,SSI,-3.1,-1390.0,-1390.0 (-3.1%)
2022-01-11,43200,43990,41730,41810,15601500,SSI,-3.8,-1650.0,-1650.0 (-3.8%)
2022-01-12,42160,43890,41810,43890,15464300,SSI,4.97,2080.0,2080.0 (4.97%)
2022-01-13,44330,44420,42460,42460,11392500,SSI,-3.26,-1430.0,-1430.0 (-3.26%)
2022-01-14,42110,42990,41990,42330,6678400,SSI,-0.31,-130.0,-130.0 (-0.31%)
2022-01-17,42160,42510,39380,39380,32346300,SSI,-6.97,-2950.0,-2950.0 (-6.97%)
2022-01-18,38500,39210,36640,36770,15992300,SSI,-6.63,-2610.0,-2610.0 (-6.63%)
2022-01-19,38160,39290,37690,39290,11085500,SSI,6.85,2520.0,2520.0 (6.85%)
2022-01-20,39470,40160,38640,39730,9055600,SSI,1.12,440.0,440.0 (1.12%)
2022-01-21,39290,39640,38420,38730,8527900,SSI,-2.52,-1000.0,-1000.0 (-2.52%)
2022-01-24,38070,38500,36030,36030,18790500,SSI,-6.97,-2700.0,-2700.0 (-6.97%)
2022-01-25,35640,37290,35550,37210,10236600,SSI,3.28,1180.0,1180.0 (3.28%)
2022-01-26,37380,37720,36860,36900,8416100,SSI,-0.83,-310.0,-310.0 (-0.83%)
2022-01-27,36950,38680,36600,37720,7544500,SSI,2.22,820.0,820.0 (2.22%)
2022-01-28,37640,39160,37550,39160,7793600,SSI,3.82,1440.0,1440.0 (3.82%)
2022-02-07,39990,40770,39380,39850,9690500,SSI,1.76,690.0,690.0 (1.76%)
2022-02-08,39550,40070,39120,39680,6658100,SSI,-0.43,-170.0,-170.0 (-0.43%)
2022-02-09,39380,40250,39380,39730,8230800,SSI,0.13,50.0,50.0 (0.13%)
2022-02-10,39810,39900,38760,39210,6996200,SSI,-1.31,-520.0,-520.0 (-1.31%)
2022-02-11,39120,39680,38950,39210,5557600,SSI,0.0,0.0,0.0 (0.0%)
2022-02-14,38680,38850,37900,37900,10485300,SSI,-3.34,-1310.0,-1310.0 (-3.34%)
2022-02-15,38420,38850,37690,38420,5733800,SSI,1.37,520.0,520.0 (1.37%)
2022-02-16,38850,39210,38500,39030,4864700,SSI,1.59,610.0,610.0 (1.59%)
2022-02-17,38950,39240,38950,39120,5870700,SSI,0.23,90.0,90.0 (0.23%)
2022-02-18,38680,39810,38590,39290,9386200,SSI,0.43,170.0,170.0 (0.43%)
2022-02-21,39380,40330,39380,39990,10975700,SSI,1.78,700.0,700.0 (1.78%)
2022-02-22,39380,39730,38680,39120,7703800,SSI,-2.18,-870.0,-870.0 (-2.18%)
2022-02-23,39290,39640,39290,39380,5632600,SSI,0.66,260.0,260.0 (0.66%)
2022-02-24,39210,39990,37770,38760,12752500,SSI,-1.57,-620.0,-620.0 (-1.57%)
2022-02-25,39120,40470,38950,39730,15679600,SSI,2.5,970.0,970.0 (2.5%)
2022-02-28,39810,40510,39680,39730,7527000,SSI,0.0,0.0,0.0 (0.0%)
2022-03-01,39990,40250,39470,39990,8804700,SSI,0.65,260.0,260.0 (0.65%)
2022-03-02,39640,39850,38730,38950,12606700,SSI,-2.6,-1040.0,-1040.0 (-2.6%)
2022-03-03,39120,39550,38680,39550,8443700,SSI,1.54,600.0,600.0 (1.54%)
2022-03-04,39990,41200,39940,40510,20515200,SSI,2.43,960.0,960.0 (2.43%)
2022-03-07,40070,40730,39760,40680,11519800,SSI,0.42,170.0,170.0 (0.42%)
2022-03-08,40420,41900,40070,40850,24333500,SSI,0.42,170.0,170.0 (0.42%)
2022-03-09,41110,41280,39900,40510,12310400,SSI,-0.83,-340.0,-340.0 (-0.83%)
2022-03-10,41550,41550,40510,40510,8503400,SSI,0.0,0.0,0.0 (0.0%)
2022-03-11,40160,40420,38850,39120,16762700,SSI,-3.43,-1390.0,-1390.0 (-3.43%)
2022-03-14,38760,38950,37290,37550,16641300,SSI,-4.01,-1570.0,-1570.0 (-4.01%)
2022-03-15,37420,38330,37380,37640,7812500,SSI,0.24,90.0,90.0 (0.24%)
2022-03-16,37810,38640,37720,38070,7098600,SSI,1.14,430.0,430.0 (1.14%)
2022-03-17,38640,38640,38070,38070,4717000,SSI,0.0,0.0,0.0 (0.0%)
2022-03-18,38210,38680,37980,38070,7818900,SSI,0.0,0.0,0.0 (0.0%)
2022-03-21,38500,38640,38070,38500,6957300,SSI,1.13,430.0,430.0 (1.13%)
2022-03-22,38500,38950,38420,38550,6005800,SSI,0.13,50.0,50.0 (0.13%)
2022-03-23,38680,38850,38420,38420,6329400,SSI,-0.34,-130.0,-130.0 (-0.34%)
2022-03-24,38640,38640,38030,38070,7095000,SSI,-0.91,-350.0,-350.0 (-0.91%)
2022-03-25,38030,38210,37640,37770,7921600,SSI,-0.79,-300.0,-300.0 (-0.79%)
2022-03-28,37290,37590,36330,36720,10391600,SSI,-2.78,-1050.0,-1050.0 (-2.78%)
2022-03-29,37290,37290,37030,37070,4040700,SSI,0.95,350.0,350.0 (0.95%)
2022-03-30,36600,37550,36550,36770,6997900,SSI,-0.81,-300.0,-300.0 (-0.81%)
2022-03-31,37210,37210,36510,36510,4239600,SSI,-0.71,-260.0,-260.0 (-0.71%)
2022-04-01,36510,37290,35980,37290,7804400,SSI,2.14,780.0,780.0 (2.14%)
2022-04-04,37810,39160,37460,39120,14810300,SSI,4.91,1830.0,1830.0 (4.91%)
2022-04-05,38950,39470,38470,38500,7217300,SSI,-1.58,-620.0,-620.0 (-1.58%)
2022-04-06,37980,39030,37980,38760,8151700,SSI,0.68,260.0,260.0 (0.68%)
2022-04-07,38760,39420,38290,38290,9640400,SSI,-1.21,-470.0,-470.0 (-1.21%)
2022-04-08,38240,38470,37380,37380,7310200,SSI,-2.38,-910.0,-910.0 (-2.38%)
2022-04-12,37460,37720,36160,36330,7028900,SSI,-2.81,-1050.0,-1050.0 (-2.81%)
2022-04-13,36510,37160,35550,36980,8424200,SSI,1.79,650.0,650.0 (1.79%)
2022-04-14,37330,37330,36430,36510,4295500,SSI,-1.27,-470.0,-470.0 (-1.27%)
2022-04-15,36330,36600,34640,34770,9691100,SSI,-4.77,-1740.0,-1740.0 (-4.77%)
2022-04-18,34160,34770,32340,32600,16501500,SSI,-6.24,-2170.0,-2170.0 (-6.24%)
2022-04-19,32680,33380,30420,30420,12058200,SSI,-6.69,-2180.0,-2180.0 (-6.69%)
2022-04-20,30380,31290,30160,30600,10151300,SSI,0.59,180.0,180.0 (0.59%)
2022-04-21,30080,31990,29990,31340,12545000,SSI,2.42,740.0,740.0 (2.42%)
2022-04-22,31730,31860,30420,31340,7067400,SSI,0.0,0.0,0.0 (0.0%)
2022-04-25,31290,31510,29160,29160,11146000,SSI,-6.96,-2180.0,-2180.0 (-6.96%)
2022-04-26,28250,29990,27250,29990,12730000,SSI,2.85,830.0,830.0 (2.85%)
2022-04-27,29680,30080,29300,29900,5114300,SSI,-0.3,-90.0,-90.0 (-0.3%)
2022-04-28,29820,30110,28950,29120,6207900,SSI,-2.61,-780.0,-780.0 (-2.61%)
2022-04-29,29120,29730,28820,29160,9311700,SSI,0.14,40.0,40.0 (0.14%)
2022-05-04,29160,29380,27810,27810,7448400,SSI,-4.63,-1350.0,-1350.0 (-4.63%)
2022-05-05,28250,28470,26330,26950,10130600,SSI,-3.09,-860.0,-860.0 (-3.09%)
2022-05-06,26070,26690,25070,25070,15138700,SSI,-6.98,-1880.0,-1880.0 (-6.98%)
2022-05-09,24730,24770,23340,23340,19409400,SSI,-6.9,-1730.0,-1730.0 (-6.9%)
2022-05-10,22600,24380,22550,24260,15410200,SSI,3.94,920.0,920.0 (3.94%)
2022-05-11,24380,24430,23770,24080,6152600,SSI,-0.74,-180.0,-180.0 (-0.74%)
2022-05-12,23690,23950,22430,22430,15874500,SSI,-6.85,-1650.0,-1650.0 (-6.85%)
2022-05-13,22600,23120,21770,22430,25052800,SSI,0.0,0.0,0.0 (0.0%)
2022-05-16,23810,24000,23640,23730,18681800,SSI,5.8,1300.0,1300.0 (5.8%)
2022-05-17,23470,25340,23380,25340,19673100,SSI,6.78,1610.0,1610.0 (6.78%)
2022-05-18,25380,26030,24860,24900,24752200,SSI,-1.74,-440.0,-440.0 (-1.74%)
2022-05-19,24000,25210,24000,24770,19089300,SSI,-0.52,-130.0,-130.0 (-0.52%)
2022-05-20,25030,25640,24690,24730,16547700,SSI,-0.16,-40.0,-40.0 (-0.16%)
2022-05-23,24770,24900,23030,23030,30832900,SSI,-6.87,-1700.0,-1700.0 (-6.87%)
2022-05-24,22950,24430,21860,24430,21835700,SSI,6.08,1400.0,1400.0 (6.08%)
2022-05-25,24430,25470,24340,25030,17343300,SSI,2.46,600.0,600.0 (2.46%)
2022-05-26,25120,26250,25030,25600,29090600,SSI,2.28,570.0,570.0 (2.28%)
2022-05-27,25470,26470,25430,25990,21093000,SSI,1.52,390.0,390.0 (1.52%)
2022-05-30,26120,26690,25640,25990,14626400,SSI,0.0,0.0,0.0 (0.0%)
2022-05-31,25550,26120,25210,25780,18324500,SSI,-0.81,-210.0,-210.0 (-0.81%)
2022-06-01,25640,25990,24950,25690,14547600,SSI,-0.35,-90.0,-90.0 (-0.35%)
2022-06-02,25730,26250,25030,25210,19231800,SSI,-1.87,-480.0,-480.0 (-1.87%)
2022-06-03,25030,25810,25030,25430,17260500,SSI,0.87,220.0,220.0 (0.87%)
2022-06-06,25690,25990,25030,25210,13164700,SSI,-0.87,-220.0,-220.0 (-0.87%)
2022-06-07,24950,25170,23690,24510,18575400,SSI,-2.78,-700.0,-700.0 (-2.78%)
2022-06-08,24770,25860,24510,25470,15160100,SSI,3.92,960.0,960.0 (3.92%)
2022-06-09,25520,25730,25070,25210,7971900,SSI,-1.02,-260.0,-260.0 (-1.02%)
2022-06-10,24860,25210,24210,24210,15662200,SSI,-3.97,-1000.0,-1000.0 (-3.97%)
2022-06-13,23030,23470,22550,22550,20886700,SSI,-6.86,-1660.0,-1660.0 (-6.86%)
2022-06-14,22080,22340,20990,21170,18121100,SSI,-6.12,-1380.0,-1380.0 (-6.12%)
2022-06-15,21290,21510,19680,19680,19494300,SSI,-7.04,-1490.0,-1490.0 (-7.04%)
2022-06-16,20340,20340,19080,19250,13558700,SSI,-2.18,-430.0,-430.0 (-2.18%)
2022-06-17,18130,18680,17910,17910,20938200,SSI,-6.96,-1340.0,-1340.0 (-6.96%)
2022-06-20,17950,18510,16690,16690,18264500,SSI,-6.81,-1220.0,-1220.0 (-6.81%)
2022-06-21,15950,17300,15690,15900,24985100,SSI,-4.73,-790.0,-790.0 (-4.73%)
2022-06-22,17030,17030,16840,17030,11892500,SSI,7.11,1130.0,1130.0 (7.11%)
2022-06-23,17320,17800,17220,17800,13697300,SSI,4.52,770.0,770.0 (4.52%)
2022-06-24,17700,18380,17650,17900,11929000,SSI,0.56,100.0,100.0 (0.56%)
2022-06-27,18040,19100,17900,19100,13895600,SSI,6.7,1200.0,1200.0 (6.7%)
2022-06-28,19150,19190,18710,18860,13211000,SSI,-1.26,-240.0,-240.0 (-1.26%)
2022-06-29,18570,19430,18470,19000,14242800,SSI,0.74,140.0,140.0 (0.74%)
2022-06-30,18950,19100,18090,18090,13242100,SSI,-4.79,-910.0,-910.0 (-4.79%)
2022-07-01,17940,19050,17270,18950,15527500,SSI,4.75,860.0,860.0 (4.75%)
2022-07-04,19290,19820,19190,19430,19712000,SSI,2.53,480.0,480.0 (2.53%)
2022-07-05,19390,19580,18950,18950,14220100,SSI,-2.47,-480.0,-480.0 (-2.47%)
2022-07-06,18470,19050,18180,18280,15164800,SSI,-3.54,-670.0,-670.0 (-3.54%)
2022-07-07,18090,18470,17940,18380,9823100,SSI,0.55,100.0,100.0 (0.55%)
2022-07-08,18570,19630,18570,19630,30285700,SSI,6.8,1250.0,1250.0 (6.8%)
2022-07-11,19680,20350,19150,19870,26063700,SSI,1.22,240.0,240.0 (1.22%)
2022-07-12,19770,20350,19630,20110,11926200,SSI,1.21,240.0,240.0 (1.21%)
2022-07-13,20110,20300,19530,19920,17839400,SSI,-0.94,-190.0,-190.0 (-0.94%)
2022-07-14,19720,21120,19580,20690,23495100,SSI,3.87,770.0,770.0 (3.87%)
2022-07-15,20780,20930,20300,20300,16577600,SSI,-1.88,-390.0,-390.0 (-1.88%)
2022-07-18,20490,20590,19920,20110,18016400,SSI,-0.94,-190.0,-190.0 (-0.94%)
2022-07-19,19870,20110,19340,19870,19867100,SSI,-1.19,-240.0,-240.0 (-1.19%)
2022-07-20,20200,20780,20110,20490,22292300,SSI,3.12,620.0,620.0 (3.12%)
