time,open,high,low,close,volume,ticker,%_change,change,latest_change
2022-01-05,46810,46810,45970,46040,261600,TV2,-1.12,-520.0,-520.0 (-1.12%)
2022-01-06,46100,47520,45780,46430,292400,TV2,0.85,390.0,390.0 (0.85%)
2022-01-07,46560,47390,46430,47260,263800,TV2,1.79,830.0,830.0 (1.79%)
2022-01-10,47520,47520,45650,45780,222100,TV2,-3.13,-1480.0,-1480.0 (-3.13%)
2022-01-11,45520,46100,44560,45010,179900,TV2,-1.68,-770.0,-770.0 (-1.68%)
2022-01-12,44810,45460,43010,45070,364000,TV2,0.13,60.0,60.0 (0.13%)
2022-01-13,45650,45650,42880,43140,245400,TV2,-4.28,-1930.0,-1930.0 (-4.28%)
2022-01-14,43070,43720,42230,43200,111900,TV2,0.14,60.0,60.0 (0.14%)
2022-01-17,43650,43650,40620,40620,345400,TV2,-5.97,-2580.0,-2580.0 (-5.97%)
2022-01-18,40690,42230,40300,41780,370200,TV2,2.86,1160.0,1160.0 (2.86%)
2022-01-19,41330,42360,40950,41070,82600,TV2,-1.7,-710.0,-710.0 (-1.7%)
2022-01-20,41850,42690,40620,42490,91400,TV2,3.46,1420.0,1420.0 (3.46%)
2022-01-21,41910,43460,41650,41910,63900,TV2,-1.37,-580.0,-580.0 (-1.37%)
2022-01-24,42490,42490,40690,41270,100600,TV2,-1.53,-640.0,-640.0 (-1.53%)
2022-01-25,41270,41270,40490,40950,59900,TV2,-0.78,-320.0,-320.0 (-0.78%)
2022-01-26,41270,41850,40240,40300,106400,TV2,-1.59,-650.0,-650.0 (-1.59%)
2022-01-27,40040,40820,39460,39460,70200,TV2,-2.08,-840.0,-840.0 (-2.08%)
2022-01-28,39460,39980,37080,39270,350600,TV2,-0.48,-190.0,-190.0 (-0.48%)
2022-02-07,39270,39330,37910,38560,214100,TV2,-1.81,-710.0,-710.0 (-1.81%)
2022-02-08,38560,39010,38370,38820,52100,TV2,0.67,260.0,260.0 (0.67%)
2022-02-09,38820,39720,38370,39270,90000,TV2,1.16,450.0,450.0 (1.16%)
2022-02-10,39330,40370,38110,39660,292700,TV2,0.99,390.0,390.0 (0.99%)
2022-02-11,39660,39980,39330,39590,72500,TV2,-0.18,-70.0,-70.0 (-0.18%)
2022-02-14,39330,39530,38040,38820,133600,TV2,-1.94,-770.0,-770.0 (-1.94%)
2022-02-15,39010,39010,38240,38820,69800,TV2,0.0,0.0,0.0 (0.0%)
2022-02-16,38820,39910,38690,39850,148700,TV2,2.65,1030.0,1030.0 (2.65%)
2022-02-17,39910,39910,39330,39720,96300,TV2,-0.33,-130.0,-130.0 (-0.33%)
2022-02-18,39530,41200,38560,40040,297500,TV2,0.81,320.0,320.0 (0.81%)
2022-02-21,40040,40430,39980,40300,97500,TV2,0.65,260.0,260.0 (0.65%)
2022-02-22,40170,40170,38370,39200,207000,TV2,-2.73,-1100.0,-1100.0 (-2.73%)
2022-02-23,39330,39910,39010,39200,98300,TV2,0.0,0.0,0.0 (0.0%)
2022-02-24,38880,39200,37400,37910,287000,TV2,-3.29,-1290.0,-1290.0 (-3.29%)
2022-02-25,38560,38690,38170,38170,124000,TV2,0.69,260.0,260.0 (0.69%)
2022-02-28,38560,38560,37400,37720,159700,TV2,-1.18,-450.0,-450.0 (-1.18%)
