time,open,high,low,close,volume,ticker,%_change,change,latest_change
2022-01-05,42840,45290,42680,44260,15128800,VCG,4.49,1900.0,1900.0 (4.49%)
2022-01-06,43860,45050,43630,44030,9365700,VCG,-0.52,-230.0,-230.0 (-0.52%)
2022-01-07,44110,45450,43710,44180,8993500,VCG,0.34,150.0,150.0 (0.34%)
2022-01-10,44260,45530,42290,42760,14138200,VCG,-3.21,-1420.0,-1420.0 (-3.21%)
2022-01-11,41890,43950,41180,42360,12738000,VCG,-0.94,-400.0,-400.0 (-0.94%)
2022-01-12,41890,43390,39400,41340,16342400,VCG,-2.41,-1020.0,-1020.0 (-2.41%)
2022-01-13,41500,41890,38570,38570,13499000,VCG,-6.7,-2770.0,-2770.0 (-6.7%)
2022-01-14,37700,40470,37700,40150,6797500,VCG,4.1,1580.0,1580.0 (4.1%)
2022-01-17,40310,40860,37350,37350,10860800,VCG,-6.97,-2800.0,-2800.0 (-6.97%)
2022-01-18,36350,38330,36280,36910,9045100,VCG,-1.18,-440.0,-440.0 (-1.18%)
2022-01-19,37550,38220,36910,37820,4315100,VCG,2.47,910.0,910.0 (2.47%)
2022-01-20,38020,39440,37700,38880,5676700,VCG,2.8,1060.0,1060.0 (2.8%)
2022-01-21,38880,39590,38100,38330,5712700,VCG,-1.41,-550.0,-550.0 (-1.41%)
2022-01-24,38100,38100,35680,35680,8096200,VCG,-6.91,-2650.0,-2650.0 (-6.91%)
2022-01-25,34770,36680,34380,36590,6006700,VCG,2.55,910.0,910.0 (2.55%)
2022-01-26,36590,37110,34060,34060,8658700,VCG,-6.91,-2530.0,-2530.0 (-6.91%)
2022-01-27,33910,33980,31690,32800,9810000,VCG,-3.7,-1260.0,-1260.0 (-3.7%)
2022-01-28,33050,33550,32009,33050,3775900,VCG,0.76,250.0,250.0 (0.76%)
2022-02-07,33830,34310,33430,33910,2314700,VCG,2.6,860.0,860.0 (2.6%)
2022-02-08,33910,33950,33120,33270,3847300,VCG,-1.89,-640.0,-640.0 (-1.89%)
2022-02-09,33270,35090,32950,34540,6080900,VCG,3.82,1270.0,1270.0 (3.82%)
2022-02-10,34770,35170,34310,34500,3159300,VCG,-0.12,-40.0,-40.0 (-0.12%)
2022-02-11,34180,35020,34180,34420,2331200,VCG,-0.23,-80.0,-80.0 (-0.23%)
2022-02-14,33630,34340,33270,33750,4741900,VCG,-1.95,-670.0,-670.0 (-1.95%)
2022-02-15,33980,34460,33750,34340,3131700,VCG,1.75,590.0,590.0 (1.75%)
2022-02-16,34620,35950,34620,35570,6228500,VCG,3.58,1230.0,1230.0 (3.58%)
2022-02-17,35800,35800,35170,35330,2899000,VCG,-0.67,-240.0,-240.0 (-0.67%)
2022-02-18,34890,35800,34890,35570,3896500,VCG,0.68,240.0,240.0 (0.68%)
2022-02-21,35570,36550,35410,36080,4598500,VCG,1.43,510.0,510.0 (1.43%)
2022-02-22,35530,35880,34660,35020,6498500,VCG,-2.94,-1060.0,-1060.0 (-2.94%)
2022-02-23,35170,35490,34940,35050,3645500,VCG,0.09,30.0,30.0 (0.09%)
2022-02-24,34860,34940,32800,33750,9325400,VCG,-3.71,-1300.0,-1300.0 (-3.71%)
2022-02-25,34140,34380,33750,33830,4199800,VCG,0.24,80.0,80.0 (0.24%)
2022-02-28,33980,34860,33750,34140,3965400,VCG,0.92,310.0,310.0 (0.92%)
2022-03-01,34460,35410,34260,35090,5198100,VCG,2.78,950.0,950.0 (2.78%)
2022-03-02,35020,35020,34140,34180,4154400,VCG,-2.59,-910.0,-910.0 (-2.59%)
2022-03-03,34310,34540,33750,34460,4607500,VCG,0.82,280.0,280.0 (0.82%)
2022-03-04,34770,35090,34580,34770,4716700,VCG,0.9,310.0,310.0 (0.9%)
2022-03-07,34770,35950,34770,35650,7094700,VCG,2.53,880.0,880.0 (2.53%)
2022-03-08,35090,35490,34460,34540,4845000,VCG,-3.11,-1110.0,-1110.0 (-3.11%)
2022-03-09,34580,34860,33830,34110,4168800,VCG,-1.24,-430.0,-430.0 (-1.24%)
2022-03-10,34770,34770,34140,34180,2439200,VCG,0.21,70.0,70.0 (0.21%)
2022-03-11,33910,34970,33910,34060,4118400,VCG,-0.35,-120.0,-120.0 (-0.35%)
2022-03-14,34230,34230,33200,33350,3500800,VCG,-2.08,-710.0,-710.0 (-2.08%)
2022-03-15,33980,34970,33430,34340,4969800,VCG,2.97,990.0,990.0 (2.97%)
2022-03-16,34770,34770,34460,34460,2369600,VCG,0.35,120.0,120.0 (0.35%)
2022-03-17,34460,35250,34460,34820,3884300,VCG,1.04,360.0,360.0 (1.04%)
2022-03-18,34770,35250,34460,34770,5105900,VCG,-0.14,-50.0,-50.0 (-0.14%)
