time,open,high,low,close,volume,ticker,%_change,change,latest_change
2022-01-05,56370,59620,55950,59280,753100,GIL,5.8,3250.0,3250.0 (5.8%)
2022-01-06,59700,60640,58940,59540,693600,GIL,0.44,260.0,260.0 (0.44%)
2022-01-07,59280,59540,58090,58940,209900,GIL,-1.01,-600.0,-600.0 (-1.01%)
2022-01-10,58090,60730,56970,58940,627600,GIL,0.0,0.0,0.0 (0.0%)
2022-01-11,59190,59790,57230,58250,272300,GIL,-1.17,-690.0,-690.0 (-1.17%)
2022-01-12,57490,58250,55610,57230,290500,GIL,-1.75,-1020.0,-1020.0 (-1.75%)
2022-01-13,57230,58090,55100,58090,290200,GIL,1.5,860.0,860.0 (1.5%)
2022-01-14,56290,59030,56290,58090,380200,GIL,0.0,0.0,0.0 (0.0%)
2022-01-17,58850,59790,58000,58090,886500,GIL,0.0,0.0,0.0 (0.0%)
2022-01-18,58090,58250,56370,57660,334000,GIL,-0.74,-430.0,-430.0 (-0.74%)
2022-01-19,56890,58000,56030,57230,244600,GIL,-0.75,-430.0,-430.0 (-0.75%)
2022-01-20,57230,57230,55260,57230,294900,GIL,0.0,0.0,0.0 (0.0%)
2022-01-21,56460,60300,56460,59370,618900,GIL,3.74,2140.0,2140.0 (3.74%)
2022-01-24,59880,59880,58000,58850,321200,GIL,-0.88,-520.0,-520.0 (-0.88%)
2022-01-25,58510,59370,56800,59110,238200,GIL,0.44,260.0,260.0 (0.44%)
2022-01-26,59110,59700,57740,58510,188600,GIL,-1.02,-600.0,-600.0 (-1.02%)
2022-01-27,58250,58850,56460,58430,395800,GIL,-0.14,-80.0,-80.0 (-0.14%)
2022-01-28,58340,58340,56890,58090,283300,GIL,-0.58,-340.0,-340.0 (-0.58%)
2022-02-07,58940,58940,56370,58600,287700,GIL,0.88,510.0,510.0 (0.88%)
2022-02-08,58770,61420,58090,61330,991500,GIL,4.66,2730.0,2730.0 (4.66%)
2022-02-09,61930,62100,60990,61330,342100,GIL,0.0,0.0,0.0 (0.0%)
2022-02-10,61160,62870,60900,62270,316400,GIL,1.53,940.0,940.0 (1.53%)
2022-02-11,62180,62440,60730,61840,370500,GIL,-0.69,-430.0,-430.0 (-0.69%)
2022-02-14,60390,61670,60390,60820,307200,GIL,-1.65,-1020.0,-1020.0 (-1.65%)
2022-02-15,60820,63630,60220,62360,463200,GIL,2.53,1540.0,1540.0 (2.53%)
2022-02-16,62360,65770,61930,65690,1127300,GIL,5.34,3330.0,3330.0 (5.34%)
2022-02-17,65690,68590,65600,67990,996800,GIL,3.5,2300.0,2300.0 (3.5%)
2022-02-18,66710,68080,66710,68080,331200,GIL,0.13,90.0,90.0 (0.13%)
2022-02-21,67570,70130,66710,70040,615000,GIL,2.88,1960.0,1960.0 (2.88%)
2022-02-22,69190,70380,67650,68840,460000,GIL,-1.71,-1200.0,-1200.0 (-1.71%)
2022-02-23,68840,70470,68170,69190,589200,GIL,0.51,350.0,350.0 (0.51%)
2022-02-24,68500,69780,65349,69190,641100,GIL,0.0,0.0,0.0 (0.0%)
2022-02-25,69620,70470,69190,69960,470100,GIL,1.11,770.0,770.0 (1.11%)
2022-02-28,69960,72610,68840,71750,458800,GIL,2.56,1790.0,1790.0 (2.56%)
2022-03-01,71670,71670,70040,71320,295600,GIL,-0.6,-430.0,-430.0 (-0.6%)
2022-03-02,70220,71160,68420,69620,633800,GIL,-2.38,-1700.0,-1700.0 (-2.38%)
2022-03-03,68500,72100,66630,72100,1269700,GIL,3.56,2480.0,2480.0 (3.56%)
2022-03-04,72100,72430,70810,72100,372200,GIL,0.0,0.0,0.0 (0.0%)
2022-03-07,69440,71320,69440,70720,491100,GIL,-1.91,-1380.0,-1380.0 (-1.91%)
2022-03-08,69190,69700,65860,65860,1015400,GIL,-6.87,-4860.0,-4860.0 (-6.87%)
2022-03-09,65000,67230,61670,64830,835500,GIL,-1.56,-1030.0,-1030.0 (-1.56%)
2022-03-10,65770,69360,65770,69270,652000,GIL,6.85,4440.0,4440.0 (6.85%)
2022-03-11,68330,69530,67480,69020,309900,GIL,-0.36,-250.0,-250.0 (-0.36%)
2022-03-14,66710,68680,66290,68080,435100,GIL,-1.36,-940.0,-940.0 (-1.36%)
2022-03-15,67900,68080,66200,67900,307800,GIL,-0.26,-180.0,-180.0 (-0.26%)
2022-03-16,69190,69190,66540,66880,351400,GIL,-1.5,-1020.0,-1020.0 (-1.5%)
2022-03-17,67900,69960,66970,69020,724100,GIL,3.2,2140.0,2140.0 (3.2%)
2022-03-18,69020,70040,67310,68930,352800,GIL,-0.13,-90.0,-90.0 (-0.13%)
2022-03-21,67990,68500,67480,67740,342800,GIL,-1.73,-1190.0,-1190.0 (-1.73%)
2022-03-22,67310,68500,66880,68500,599300,GIL,1.12,760.0,760.0 (1.12%)
