time,open,high,low,close,volume,ticker,%_change,change,latest_change
2022-01-05,61750,65550,61270,65550,2390700,VHC,6.99,4280.0,4280.0 (6.99%)
2022-01-06,66720,67110,64580,65260,1103900,VHC,-0.44,-290.0,-290.0 (-0.44%)
2022-01-07,65260,66530,65260,65360,603500,VHC,0.15,100.0,100.0 (0.15%)
2022-01-10,65450,65550,61850,62630,1294300,VHC,-4.18,-2730.0,-2730.0 (-4.18%)
2022-01-11,61950,62820,59900,60390,972700,VHC,-3.58,-2240.0,-2240.0 (-3.58%)
2022-01-12,59420,62240,58540,62240,1493900,VHC,3.06,1850.0,1850.0 (3.06%)
2022-01-13,62240,62340,59220,59320,699800,VHC,-4.69,-2920.0,-2920.0 (-4.69%)
2022-01-14,59320,61360,58930,61270,489500,VHC,3.29,1950.0,1950.0 (3.29%)
2022-01-17,61460,62240,56980,58150,842100,VHC,-5.09,-3120.0,-3120.0 (-5.09%)
2022-01-18,58150,60490,58150,59030,654300,VHC,1.51,880.0,880.0 (1.51%)
2022-01-19,60390,61070,59320,61070,375800,VHC,3.46,2040.0,2040.0 (3.46%)
2022-01-20,61170,62340,59900,61950,506900,VHC,1.44,880.0,880.0 (1.44%)
2022-01-21,62920,64680,61560,61560,588000,VHC,-0.63,-390.0,-390.0 (-0.63%)
2022-01-24,61560,61850,58540,58540,491900,VHC,-4.91,-3020.0,-3020.0 (-4.91%)
2022-01-25,58540,61850,58540,61660,455000,VHC,5.33,3120.0,3120.0 (5.33%)
2022-01-26,61850,63310,61850,62730,487800,VHC,1.74,1070.0,1070.0 (1.74%)
2022-01-27,62440,62820,60290,60390,231700,VHC,-3.73,-2340.0,-2340.0 (-3.73%)
2022-01-28,60490,61360,58640,59420,553200,VHC,-1.61,-970.0,-970.0 (-1.61%)
2022-02-07,60390,62140,59610,61560,275200,VHC,3.6,2140.0,2140.0 (3.6%)
2022-02-08,62140,65840,61070,65840,2720900,VHC,6.95,4280.0,4280.0 (6.95%)
2022-02-09,66430,67790,65550,66920,1348600,VHC,1.64,1080.0,1080.0 (1.64%)
2022-02-10,65840,69160,65840,67500,1097700,VHC,0.87,580.0,580.0 (0.87%)
2022-02-11,67210,69640,66620,66620,1343700,VHC,-1.3,-880.0,-880.0 (-1.3%)
2022-02-14,66230,71200,65750,71200,1511200,VHC,6.87,4580.0,4580.0 (6.87%)
2022-02-15,72080,72180,70130,71100,741600,VHC,-0.14,-100.0,-100.0 (-0.14%)
2022-02-16,71880,73930,71100,71490,988600,VHC,0.55,390.0,390.0 (0.55%)
2022-02-17,71300,73540,70910,73050,919000,VHC,2.18,1560.0,1560.0 (2.18%)
2022-02-18,72470,75190,72470,74030,839700,VHC,1.34,980.0,980.0 (1.34%)
2022-02-21,74030,74900,72660,74030,934700,VHC,0.0,0.0,0.0 (0.0%)
2022-02-22,72760,73830,71200,73050,1277900,VHC,-1.32,-980.0,-980.0 (-1.32%)
2022-02-23,74030,78120,73340,76950,1081200,VHC,5.34,3900.0,3900.0 (5.34%)
2022-02-24,75970,76950,72080,75190,1491100,VHC,-2.29,-1760.0,-1760.0 (-2.29%)
2022-02-25,75880,76270,74900,75000,621500,VHC,-0.25,-190.0,-190.0 (-0.25%)
2022-02-28,75000,77630,74120,74510,512900,VHC,-0.65,-490.0,-490.0 (-0.65%)
2022-03-01,75000,76750,74810,75970,1281700,VHC,1.96,1460.0,1460.0 (1.96%)
2022-03-02,75970,81230,75580,78900,1162400,VHC,3.86,2930.0,2930.0 (3.86%)
2022-03-03,79480,80360,78020,78800,592600,VHC,-0.13,-100.0,-100.0 (-0.13%)
2022-03-04,78800,78900,77820,78120,637500,VHC,-0.86,-680.0,-680.0 (-0.86%)
2022-03-07,77050,79770,76460,76750,1003800,VHC,-1.75,-1370.0,-1370.0 (-1.75%)
2022-03-08,75970,76660,72080,72080,2540300,VHC,-6.08,-4670.0,-4670.0 (-6.08%)
2022-03-09,72270,74420,71100,72470,1726400,VHC,0.54,390.0,390.0 (0.54%)
2022-03-10,75000,77530,74510,77530,792100,VHC,6.98,5060.0,5060.0 (6.98%)
2022-03-11,78410,81620,76750,77730,1666600,VHC,0.26,200.0,200.0 (0.26%)
2022-03-14,76660,80360,76070,78510,1365700,VHC,1.0,780.0,780.0 (1.0%)
2022-03-15,78410,83960,76950,82790,1978200,VHC,5.45,4280.0,4280.0 (5.45%)
2022-03-16,84550,84640,82890,83380,991400,VHC,0.71,590.0,590.0 (0.71%)
2022-03-17,84250,84250,81040,82600,899200,VHC,-0.94,-780.0,-780.0 (-0.94%)
2022-03-18,82790,83380,80260,81040,2167900,VHC,-1.89,-1560.0,-1560.0 (-1.89%)
2022-03-21,81430,84250,81430,82400,765200,VHC,1.68,1360.0,1360.0 (1.68%)
2022-03-22,82790,83180,81040,83180,702200,VHC,0.95,780.0,780.0 (0.95%)
2022-03-23,83960,86100,83570,85030,1059600,VHC,2.22,1850.0,1850.0 (2.22%)
2022-03-24,85030,90190,84940,89030,1899100,VHC,4.7,4000.0,4000.0 (4.7%)
2022-03-25,89510,93020,88640,91560,1034400,VHC,2.84,2530.0,2530.0 (2.84%)
2022-03-28,91170,95060,89610,93990,1378700,VHC,2.65,2430.0,2430.0 (2.65%)
2022-03-29,93900,94480,90390,90390,1239500,VHC,-3.83,-3600.0,-3600.0 (-3.83%)
2022-03-30,89610,92530,89610,90580,1157100,VHC,0.21,190.0,190.0 (0.21%)
2022-03-31,89900,93510,88930,92340,1051200,VHC,1.94,1760.0,1760.0 (1.94%)
2022-04-01,92340,96720,91360,94770,1383100,VHC,2.63,2430.0,2430.0 (2.63%)
2022-04-04,96330,96330,91950,92050,865400,VHC,-2.87,-2720.0,-2720.0 (-2.87%)
2022-04-05,91070,93990,90580,93600,883000,VHC,1.68,1550.0,1550.0 (1.68%)
2022-04-06,94380,94380,90190,93510,951500,VHC,-0.1,-90.0,-90.0 (-0.1%)
2022-04-07,92530,92530,87470,87470,1113800,VHC,-6.46,-6040.0,-6040.0 (-6.46%)
2022-04-08,87470,90490,86490,89120,1043700,VHC,1.89,1650.0,1650.0 (1.89%)
2022-04-12,90390,95360,89220,95260,1296500,VHC,6.89,6140.0,6140.0 (6.89%)
2022-04-13,94580,98380,94580,95360,1251900,VHC,0.1,100.0,100.0 (0.1%)
2022-04-14,95940,101300,95750,99940,1719000,VHC,4.8,4580.0,4580.0 (4.8%)
2022-04-15,99350,102660,97890,101880,840700,VHC,1.94,1940.0,1940.0 (1.94%)
2022-04-18,101300,105190,100320,102760,1221000,VHC,0.86,880.0,880.0 (0.86%)
2022-04-19,103050,103250,99060,99350,1696300,VHC,-3.32,-3410.0,-3410.0 (-3.32%)
2022-04-20,97500,105680,95940,103640,2145400,VHC,4.32,4290.0,4290.0 (4.32%)
2022-04-21,100810,103730,99350,100320,956600,VHC,-3.2,-3320.0,-3320.0 (-3.2%)
2022-04-22,100810,101300,93310,93310,2914600,VHC,-6.99,-7010.0,-7010.0 (-6.99%)
2022-04-25,93310,93310,86790,86790,997600,VHC,-6.99,-6520.0,-6520.0 (-6.99%)
2022-04-26,80750,86880,80750,86880,2933400,VHC,0.1,90.0,90.0 (0.1%)
2022-04-27,87180,92920,86690,92920,1845400,VHC,6.95,6040.0,6040.0 (6.95%)
2022-04-28,93510,96820,93020,94970,1218900,VHC,2.21,2050.0,2050.0 (2.21%)
2022-04-29,94480,101300,93800,101300,2242900,VHC,6.67,6330.0,6330.0 (6.67%)
2022-05-04,99350,104810,99350,101300,1619400,VHC,0.0,0.0,0.0 (0.0%)
2022-05-05,102080,102080,95940,100320,1715200,VHC,-0.97,-980.0,-980.0 (-0.97%)
2022-05-06,96920,106070,96920,102860,3028100,VHC,2.53,2540.0,2540.0 (2.53%)
2022-05-09,99840,103730,95750,95750,1903700,VHC,-6.91,-7110.0,-7110.0 (-6.91%)
2022-05-10,89610,99840,89220,99350,1639900,VHC,3.76,3600.0,3600.0 (3.76%)
2022-05-11,99350,102180,94970,98380,1262300,VHC,-0.98,-970.0,-970.0 (-0.98%)
2022-05-12,96530,98380,91560,91560,1623400,VHC,-6.93,-6820.0,-6820.0 (-6.93%)
2022-05-13,88150,90100,85230,85230,1646200,VHC,-6.91,-6330.0,-6330.0 (-6.91%)
2022-05-16,85710,87660,79290,79290,2561400,VHC,-6.97,-5940.0,-5940.0 (-6.97%)
2022-05-17,74120,84740,73830,84740,2232100,VHC,6.87,5450.0,5450.0 (6.87%)
